timestamp,angle,latitude,longitude,distance,speed
9/4/2024 21:51,300.63,478.47,217.49,154,220
9/4/2024 21:51,300.63,478.47,217.49,154,220
2024-09-04 22:05:04,84.0,400.52,354.97,5.0,7.14
2024-09-04 22:12:14,195.76,225.8,300.85,181.0,258.57
2024-09-04 22:12:30,195.76,225.8,300.85,181.0,258.57
2024-09-04 22:12:42,195.76,225.8,300.85,181.0,258.57
2024-09-04 22:12:54,195.76,225.8,300.85,181.0,258.57
2024-09-04 22:13:07,195.76,225.8,300.85,181.0,258.57
2024-09-04 22:17:06,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:17:18,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:17:33,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:17:47,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:18:02,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:18:14,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:18:26,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:18:38,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:18:50,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:19:02,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:19:15,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:19:27,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:19:39,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:19:51,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:20:03,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:20:15,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:20:28,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:20:40,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:20:52,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:21:04,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:21:16,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:21:28,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:21:41,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:21:53,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:22:05,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:22:17,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:22:29,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:22:41,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:22:54,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:23:06,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:23:18,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:23:30,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:23:42,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:23:54,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:24:07,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:24:19,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:24:31,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:24:43,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:24:55,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:25:07,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:25:20,341.52,420.87,343.03,22.0,31.43
2024-09-04 22:26:48,5.84,584.04,368.84,185.0,264.29
2024-09-04 22:27:03,5.84,584.04,368.84,185.0,264.29
2024-09-04 22:27:15,5.84,584.04,368.84,185.0,264.29
2024-09-04 22:29:37,238.53,343.09,257.04,109.0,155.71
2024-09-04 22:37:14,36.9,527.15,445.47,159.0,227.14
2024-09-04 22:37:30,36.9,527.15,445.47,159.0,227.14
2024-09-04 22:37:42,36.9,527.15,445.47,159.0,227.14
2024-09-04 22:39:24,83.75,413.18,470.28,121.0,172.86
2024-09-04 22:45:56,100.89,394.71,377.5,28.0,40.0
2024-09-04 22:46:09,100.89,394.71,377.5,28.0,40.0
2024-09-04 22:46:21,100.89,394.71,377.5,28.0,40.0
2024-09-04 22:46:33,100.89,394.71,377.5,28.0,40.0
2024-09-04 22:46:45,100.89,394.71,377.5,28.0,40.0
2024-09-04 22:46:57,100.89,394.71,377.5,28.0,40.0
2024-09-04 22:49:19,195.19,374.91,343.19,26.0,37.14
2024-09-04 22:53:53,50.21,419.2,373.05,30.0,42.86
2024-09-04 22:55:28,201.33,289.15,306.72,119.0,170.0
2024-09-04 22:55:40,201.33,289.15,306.72,119.0,170.0
2024-09-05 08:03:40,46.19,467.84,420.73,98.0,140.0
2024-09-05 08:04:06,46.19,467.84,420.73,98.0,140.0
2024-09-05 08:04:27,46.19,467.84,420.73,98.0,140.0
2024-09-05 09:34:17,240.73,321.28,209.56,161.0,230.0
2024-09-05 10:20:37,275.16,415.37,179.69,171.0,244.29
2024-09-05 10:21:03,275.16,415.37,179.69,171.0,244.29
2024-09-05 10:21:24,275.16,415.37,179.69,171.0,244.29
2024-09-05 10:21:50,154.98,266.8,412.18,147.0,210.0
2024-09-05 10:22:10,154.98,266.8,412.18,147.0,210.0
